8,14920;7,78280;7,41360;7,23240;7,41440;7,53920;7,63080;7,69840;7,74440;7,78120;7,81440;7,84880;7,87160;9,79360;7,90720;7,92640;7,93800;7,95200;7,95840;7,96840;7,98080;7,98800;7,99840;7,99960;8,00880;8,01600;8,01680;8,02160;8,02800;8,03120;8,03920;8,04080;9,06560;9,09680;9,06520;9,05720;9,04840;9,01080;8,99240;8,96440;8,93200;8,93200;8,92200;8,90480;8,87040;8,85040;8,85040;8,83480;8,80560;8,80280;8,79240;8,78360;8,77760;8,75600;8,72800;8,73760;8,72240;8,71360;8,71320;8,70800;8,67400;8,67720;8,66240
20,74160;20,37120;20,00160;19,81440;19,70280;19,63280;19,57640;23,70000;23,20720;22,80840;22,48920;22,21640;21,99120;21,79760;21,63160;21,47880;21,35000;21,23200;21,12960;21,03080;20,95120;20,87320;20,80360;20,73960;20,67720;20,62680;20,57720;20,52800;20,48440;20,44000;20,40520;20,37120;20,33720;20,30600;20,27160;20,24320;20,22360;20,19360;20,16960;20,14440;20,12040;20,10480;20,08560;20,06520
44,44760;45,19880;44,94240;52,96000;51,25400;50,12520;49,31200;48,69600;48,22920;47,81480;47,53960;47,28160;47,06320;46,87920;46,71360;46,57560;46,45080;46,33600;46,24080;46,13640;46,06840;45,98400;45,92520;45,86360;45,80120;45,75240;45,70600;45,6584
88,89520;87,41160;98,02320;94,80920;93,03120;91,85440;91,00840;90,36800;89,87640;89,47720;89,15680;88,88520;88,66040;88,46840;88,29560;88,14840;88,02040;87,89720
34,414;33,268;34,256;34,228;33,968;33,796;34,306;36,296;36,024;35,818;35,604;35,46
36,636;36,232;36,232;35,896;39,746;39,104;38,646;37,896;37,63;37,414;37,242;
50,526;64,034;59,462;56,722;55,214;54,232;53,61;52,636;52,27;51,876;51,644;
